,timestamp,stored,actor,verb,object,result
1379,2023-05-09 06:14:34.396000+00:00,2023-05-09T06:14:34.396Z,Android102,Logged In,Deusto,"{""score"":{""raw"":0}}"
1378,2023-05-09 06:14:50.827000+00:00,2023-05-09T06:14:50.827Z,Android101,Logged In,Deusto,"{""score"":{""raw"":0}}"
1377,2023-05-09 06:14:58.188000+00:00,2023-05-09T06:14:58.188Z,Tablet101,Logged In,Deusto,"{""score"":{""raw"":0}}"
1376,2023-05-09 06:15:25.807000+00:00,2023-05-09T06:15:25.807Z,iPad101,Logged In,Deusto,"{""score"":{""raw"":0}}"
1375,2023-05-09 06:15:36.016000+00:00,2023-05-09T06:15:36.016Z,Android104,Logged In,Deusto,"{""score"":{""raw"":0}}"
1374,2023-05-09 06:16:06.283000+00:00,2023-05-09T06:16:06.283Z,Tablet102,Logged In,Deusto,"{""score"":{""raw"":0}}"
1373,2023-05-09 06:16:13.439000+00:00,2023-05-09T06:16:13.439Z,Teacher,Logged In,Deusto,
1372,2023-05-09 06:16:13.934000+00:00,2023-05-09T06:16:13.934Z,iPhone102,Logged In,Deusto,"{""score"":{""raw"":0}}"
1371,2023-05-09 06:16:29.053000+00:00,2023-05-09T06:16:29.053Z,AR4Education,Logged In,Deusto,"{""score"":{""raw"":0}}"
1370,2023-05-09 06:16:36.120000+00:00,2023-05-09T06:16:36.120Z,iPhone102,Placed,Earth,"{""score"":{""raw"":0}}"
1369,2023-05-09 06:16:38.249000+00:00,2023-05-09T06:16:38.249Z,Iphone101,Logged In,Deusto,"{""score"":{""raw"":0}}"
1368,2023-05-09 06:16:39.273000+00:00,2023-05-09T06:16:39.273Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1367,2023-05-09 06:16:39.940000+00:00,2023-05-09T06:16:39.940Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1366,2023-05-09 06:16:59.080000+00:00,2023-05-09T06:16:59.080Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1365,2023-05-09 06:17:05.210000+00:00,2023-05-09T06:17:05.210Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1364,2023-05-09 06:17:06.714000+00:00,2023-05-09T06:17:06.714Z,Tablet102,Placed,Earth,"{""score"":{""raw"":0}}"
1363,2023-05-09 06:17:23.292000+00:00,2023-05-09T06:17:23.292Z,Android102,Placed,Earth,"{""score"":{""raw"":0}}"
1362,2023-05-09 06:17:25.170000+00:00,2023-05-09T06:17:25.170Z,AR4Education,Placed,Earth,"{""score"":{""raw"":0}}"
1361,2023-05-09 06:17:25.678000+00:00,2023-05-09T06:17:25.678Z,Tablet101,Placed,Earth,"{""score"":{""raw"":0}}"
1360,2023-05-09 06:17:27.153000+00:00,2023-05-09T06:17:27.153Z,Android104,Placed,Earth,"{""score"":{""raw"":0}}"
1359,2023-05-09 06:17:27.452000+00:00,2023-05-09T06:17:27.452Z,Android101,Placed,Earth,"{""score"":{""raw"":0}}"
1358,2023-05-09 06:17:30.860000+00:00,2023-05-09T06:17:30.860Z,Tablet101,Swiped,Left,"{""score"":{""raw"":0}}"
1357,2023-05-09 06:17:33.148000+00:00,2023-05-09T06:17:33.148Z,Tablet101,Swiped,Left,"{""score"":{""raw"":0}}"
1356,2023-05-09 06:17:34.962000+00:00,2023-05-09T06:17:34.962Z,Tablet101,Swiped,Right,"{""score"":{""raw"":0}}"
