,timestamp,stored,actor,verb,object,result
1196,2023-05-10 06:08:56.213000+00:00,2023-05-10T06:08:56.213Z,holshola,Swiped,Right,"{""score"":{""raw"":0}}"
1195,2023-05-10 06:09:04.204000+00:00,2023-05-10T06:09:04.204Z,holshola,Logged In,Xabier Zubiri Manteo,"{""score"":{""raw"":0}}"
1194,2023-05-10 06:14:17.343000+00:00,2023-05-10T06:14:17.343Z,Android201,Logged In,Xabier Zubiri Manteo,"{""score"":{""raw"":0}}"
1193,2023-05-10 06:15:04.466000+00:00,2023-05-10T06:15:04.466Z,Teacher,Logged In,Xabier_Zubiri Manteo,
1192,2023-05-10 06:16:00.053000+00:00,2023-05-10T06:16:00.053Z,Teacher,Logged In,Xabier_Zubiri Manteo,
1191,2023-05-10 06:16:36.553000+00:00,2023-05-10T06:16:36.553Z,Android201,Logged Out,Xabier Zubiri Manteo,"{""score"":{""raw"":0}}"
1190,2023-05-10 06:16:40.340000+00:00,2023-05-10T06:16:40.340Z,Teacher,Logged In,Xabier_Zubiri Manteo,
1189,2023-05-10 06:16:50.213000+00:00,2023-05-10T06:16:50.213Z,Android203,Logged In,Xabier Zubiri Manteo,"{""score"":{""raw"":0}}"
1188,2023-05-10 06:16:50.544000+00:00,2023-05-10T06:16:50.544Z,Android202,Logged In,Xabier Zubiri Manteo,"{""score"":{""raw"":0}}"
1187,2023-05-10 06:16:50.761000+00:00,2023-05-10T06:16:50.761Z,Android204,Logged In,Xabier Zubiri Manteo,"{""score"":{""raw"":0}}"
1186,2023-05-10 06:16:53.366000+00:00,2023-05-10T06:16:53.366Z,Tablet202,Logged In,Xabier Zubiri Manteo,"{""score"":{""raw"":0}}"
1185,2023-05-10 06:16:53.910000+00:00,2023-05-10T06:16:53.910Z,PC028,Logged In,Xabier_Zubiri Manteo,
1184,2023-05-10 06:16:56.945000+00:00,2023-05-10T06:16:56.945Z,iPhone201,Logged In,Xabier Zubiri Manteo,"{""score"":{""raw"":0}}"
1183,2023-05-10 06:16:59.351000+00:00,2023-05-10T06:16:59.351Z,IPhone202,Logged In,Xabier Zubiri Manteo,"{""score"":{""raw"":0}}"
1182,2023-05-10 06:17:08.571000+00:00,2023-05-10T06:17:08.571Z,Android203,Swiped,Left,"{""score"":{""raw"":0}}"
1181,2023-05-10 06:17:08.755000+00:00,2023-05-10T06:17:08.755Z,Android203,Swiped,Left,"{""score"":{""raw"":0}}"
1180,2023-05-10 06:17:09.574000+00:00,2023-05-10T06:17:09.574Z,Tablet201,Logged In,Xabier Zubiri Manteo,"{""score"":{""raw"":0}}"
1179,2023-05-10 06:17:09.978000+00:00,2023-05-10T06:17:09.978Z,iPad202,Logged In,Xabier Zubiri Manteo,"{""score"":{""raw"":0}}"
1178,2023-05-10 06:17:10.268000+00:00,2023-05-10T06:17:10.268Z,iPhone201,Placed,Earth,"{""score"":{""raw"":0}}"
1177,2023-05-10 06:17:13.097000+00:00,2023-05-10T06:17:13.097Z,IPhone202,Placed,Earth,"{""score"":{""raw"":0}}"
1176,2023-05-10 06:17:14.753000+00:00,2023-05-10T06:17:14.753Z,PC025,Logged In,Xabier_Zubiri Manteo,
1175,2023-05-10 06:17:16.081000+00:00,2023-05-10T06:17:16.081Z,iPad202,Placed,Earth,"{""score"":{""raw"":0}}"
1174,2023-05-10 06:17:16.908000+00:00,2023-05-10T06:17:16.908Z,iPad202,Swiped,Right,"{""score"":{""raw"":0}}"
1173,2023-05-10 06:17:17.088000+00:00,2023-05-10T06:17:17.088Z,iPad202,Swiped,Left,"{""score"":{""raw"":0}}"
1172,2023-05-10 06:17:17.420000+00:00,2023-05-10T06:17:17.420Z,iPhone201,Placed,Earth,"{""score"":{""raw"":0}}"
1171,2023-05-10 06:17:20.486000+00:00,2023-05-10T06:17:20.486Z,iPhone201,Swiped,Left,"{""score"":{""raw"":0}}"
1170,2023-05-10 06:17:21.098000+00:00,2023-05-10T06:17:21.098Z,iPhone201,Swiped,Right,"{""score"":{""raw"":0}}"
1169,2023-05-10 06:17:22.401000+00:00,2023-05-10T06:17:22.401Z,Tablet202,Placed,Earth,"{""score"":{""raw"":0}}"
1168,2023-05-10 06:17:24.131000+00:00,2023-05-10T06:17:24.131Z,iPad202,Swiped,Left,"{""score"":{""raw"":0}}"
1167,2023-05-10 06:17:24.320000+00:00,2023-05-10T06:17:24.320Z,iPad202,Swiped,Left,"{""score"":{""raw"":0}}"
1166,2023-05-10 06:17:26.210000+00:00,2023-05-10T06:17:26.210Z,Tablet202,Swiped,Left,"{""score"":{""raw"":0}}"
1165,2023-05-10 06:17:26.708000+00:00,2023-05-10T06:17:26.708Z,iPad202,Swiped,Right,"{""score"":{""raw"":0}}"
1164,2023-05-10 06:17:26.872000+00:00,2023-05-10T06:17:26.872Z,iPad202,Swiped,Right,"{""score"":{""raw"":0}}"
1163,2023-05-10 06:17:27.219000+00:00,2023-05-10T06:17:27.219Z,Tablet202,Swiped,Left,"{""score"":{""raw"":0}}"
1162,2023-05-10 06:17:28.466000+00:00,2023-05-10T06:17:28.466Z,iPhone201,Placed,Earth,"{""score"":{""raw"":0}}"
1161,2023-05-10 06:17:28.885000+00:00,2023-05-10T06:17:28.885Z,iPad202,Swiped,Right,"{""score"":{""raw"":0}}"
1160,2023-05-10 06:17:30.326000+00:00,2023-05-10T06:17:30.326Z,iPhone201,Placed,Earth,"{""score"":{""raw"":0}}"
1159,2023-05-10 06:17:32.651000+00:00,2023-05-10T06:17:32.651Z,IPhone202,Swiped,Left,"{""score"":{""raw"":0}}"
1158,2023-05-10 06:17:34.799000+00:00,2023-05-10T06:17:34.799Z,Android202,Placed,Earth,"{""score"":{""raw"":0}}"
1157,2023-05-10 06:17:35.097000+00:00,2023-05-10T06:17:35.097Z,Android202,Swiped,Right,"{""score"":{""raw"":0}}"
1156,2023-05-10 06:17:35.630000+00:00,2023-05-10T06:17:35.630Z,IPhone202,Placed,Earth,"{""score"":{""raw"":0}}"
1155,2023-05-10 06:17:38.828000+00:00,2023-05-10T06:17:38.828Z,Android202,Swiped,Right,"{""score"":{""raw"":0}}"
1154,2023-05-10 06:17:39.456000+00:00,2023-05-10T06:17:39.456Z,Android202,Swiped,Left,"{""score"":{""raw"":0}}"
1153,2023-05-10 06:17:45.110000+00:00,2023-05-10T06:17:45.110Z,iPad202,Placed,Earth,"{""score"":{""raw"":0}}"
1152,2023-05-10 06:17:46.135000+00:00,2023-05-10T06:17:46.135Z,Android201,Logged In,Xabier Zubiri Manteo,"{""score"":{""raw"":0}}"
1151,2023-05-10 06:17:47.152000+00:00,2023-05-10T06:17:47.152Z,iPhone201,Placed,Earth,"{""score"":{""raw"":0}}"
1150,2023-05-10 06:17:48.745000+00:00,2023-05-10T06:17:48.745Z,Android204,Placed,Earth,"{""score"":{""raw"":0}}"
1149,2023-05-10 06:17:49.221000+00:00,2023-05-10T06:17:49.221Z,Android204,Swiped,Right,"{""score"":{""raw"":0}}"
